Package,Function,Parameter,Parameter Doc,Sink,Unusual
aaptjs,list,apkfilePath,,CommandInjection,yes
adb-driver,execADBCommand,command,,CommandInjection,no
alfred-workflow-nodejs,remove,key,,CommandInjection,yes
apex-publish-static-files,publish,connectString,,CommandInjection,yes
apiconnect-cli-plugins,installPlugin,pluginUri,,CommandInjection,yes
arpping,ping,range,,CommandInjection,yes
async-git,reset,destination,,CommandInjection,yes
bestzip,zip,destination,,CommandInjection,yes
blamer,blamer,args,,CommandInjection,yes
buns,install,requestModule,,CommandInjection,yes
clamscan,init,path,,CommandInjection,yes
codecov,upload,gcov-root,,CommandInjection,yes
command-exists,sync,commandName,,CommandInjection,yes
compass-compile,compile,compassCommand,,CommandInjection,no
connection-tester,test,host,,CommandInjection,yes
curling,run,command,,CommandInjection,yes
curljs,curljs,url,,CommandInjection,yes
deferred-exec,deferred-exec,command,,CommandInjection,no
diskstats,check,path,,CommandInjection,yes
diskusage-ng,diskusage-ng,path,,CommandInjection,yes
dns-sync,resolve,hostname,,CommandInjection,yes
effect,edge,image,,CommandInjection,yes
enpeem,update,production,,CommandInjection,yes
eslint-fixer,fix,filePath,,CommandInjection,yes
extra-asciinema,uploadSync,f,,CommandInjection,yes
ffmpeg-sdk,execute,command,,CommandInjection,no
ffmpegdotjs,trimvideo,output,,CommandInjection,yes
find-process,find-process,value,,CommandInjection,yes
freespace,freespace.check,driveOrMount,,CommandInjection,yes
geojson2kml,geojson2kml,outPath,,CommandInjection,yes
get-npm-package-version,get-npm-package-version,packageName,,CommandInjection,yes
git-add-remote,git-add-remote,name,,CommandInjection,yes
git-dummy-commit,git-dummy-commit,msg,,CommandInjection,yes
git-lib,add,files,,CommandInjection,yes
git-parse,gitDiff,file,,CommandInjection,yes
git-tags-remote,get,repo,,CommandInjection,yes
git,git,function_name,,CommandInjection,yes
gitblame,gitblame,file,,CommandInjection,yes
giting,pull,branch,,CommandInjection,yes
gity,commit,opts,,CommandInjection,yes
gm,compare,orig,,CommandInjection,yes
google-cloudstorage-commands,upload,bucket,,CommandInjection,yes
