Package,Function,Parameter,Parameter Doc,Sink,Unusual,PR,Comments,Determined By
@actions/io,mv,dest,,TaintedPath,,,,
@actions/io,mv,source,,TaintedPath,,,,
@actions/tool-cache,cacheDir,arch,,TaintedPath,yes,https://github.com/actions/toolkit/pull/1139,arch is used as part of path,param
@admin-interface/core,configParser,dirname,,TaintedPath,,,,
@admin-interface/core,yamlConfigParse,configFile,,TaintedPath,,,,
@adobe/create-aio-lib,removeDotGitFolder,repoFolder,,TaintedPath,,,,
@alexa-games/sfb-skill,loadSnippets,locale,Current locale.,TaintedPath,,,,
@alexa-games/sfb-skill,setupFFMPEGbin,workingDir,,TaintedPath,,,,
@amagaki/amagaki,moveFileAsync,afterPath,,TaintedPath,,,,
@amagaki/amagaki,readYaml,podPath,,TaintedPath,,,,
@amagaki/amagaki-plugin-page-builder,buildPartialElement,partial,,TaintedPath,,,,
@angular-devkit/core,read,path,,TaintedPath,,,,
@angular/devkit-repo,stat,path,,TaintedPath,,,,
@api3/airnode-validator,convertJson,templatePath,,TaintedPath,,,,
@app-config/encryption,deleteLocalKeys,keychain,,TaintedPath,,,,
@app-config/monorepo,initializeLocalKeys,revocationCert,,TaintedPath,,,,
@applitools/test-server,testServer,key,,TaintedPath,,,,
@appworks/common-service,getFolderExistsTime,folderPath,,TaintedPath,,,,
@aragon/toolkit,deployContract,artifactName,,TaintedPath,,,,
@aragon/toolkit,deployContract,artifactPackage,,TaintedPath,,,,
@asymmetrik/fhir-qb,QueryBuilder,packageName,,TaintedPath,,,,
@author.io/metadoc-plugin,walk,directory,,TaintedPath,,,,
@autorest/testmodeler,loadAvailableTestResources,fileRoot,,TaintedPath,,,,
@autorest/testmodeler,loadTestResourcesFromConfig,fileRoot,,TaintedPath,no,,,param+func
@azure/oad,compareTags,newSwagger,,TaintedPath,,,,
@azure/storage-blob,uploadFileToBlockBlob,filePath,,TaintedPath,,,,
@bitovi/velocirender,@bitovi/velocirender,pth,,TaintedPath,no,,velocirender renders from a HTML file (`pth` is abbreivation for path),param+README
@blog/api,persistApi,apiPath,,TaintedPath,,,,
@botonic/nlp,load,path,,TaintedPath,no,,,param+func
@bugsnag/electron-filestore,deleteMinidump,eventPath,,TaintedPath,,,,
@butlerlogic/common-api,replyWithError,message,,ReflectedXss,yes,,,param+func
@bytedance/mona-shared,readConfig,filename,,TaintedPath,,,,
@caerusjs/monorepo,createFile,path,,TaintedPath,,,,
@cityofboston/hapi-common,register,queriesDirPath,,TaintedPath,,,,
@ckeditor/ckeditor5-dev-utils,checkout,branchName,Name of the branch to checkout.,CommandInjection,yes,,,param
@ckeditor/ckeditor5-dev-utils,isFile,path,,TaintedPath,no,,,param+func
@ckeditor/ckeditor5-dev-utils,shExec,command,"The command to be executed.
",CommandInjection,,,,
@clusterio/lib,queryLog,logDirectory,"path to directory with logs.
",TaintedPath,,,,
@codotype/runtime,readFile,filepath,,TaintedPath,,,,
@conga/annotations,registerAnnotation,path,,TaintedPath,no,,,param+README
@corenode/pkg-manager,canPublish,packagePath,,TaintedPath,,,,
@coreui/react-docs,@coreui/react-docs,directory,,TaintedPath,no,,,param
@cumulus/test-data,loadTestData,name,,TaintedPath,,,,
@danielwii/asuna-node-server,regInitializer,config,,ReflectedXss,yes,,,param+func
@databases/migrations-base,delete,filename,,TaintedPath,,,,
@deepkit/core-node,getJobConfig,rootDir,,TaintedPath,,,,
@dendronhq/common-server,file2Schema,fpath,,TaintedPath,,,,
@dendronhq/common-server,getGitProviderOwnerAndRepositoryFromGitConfig,uri,,TaintedPath,,,,
@deskpro/apps-dpat,appVersion,projectDir,,TaintedPath,,,,
@diez/mono,cliRequire,plugin,,TaintedPath,no,,nodejs cli `require(plugin)`,func+README
@directus/drive,getStat,location,,TaintedPath,,,,
@easy-team/easywebpack-cli,getEasyInstallPackage,name,,TaintedPath,,,,
@easy-team/easywebpack-cli,updatePackageFile,fileDir,,TaintedPath,no,,,param+func+package
@egodigital/egoose,isFIFOSync,path,,TaintedPath,,,,
@egodigital/egoose,isSymLink,path,,TaintedPath,no,,,param+func
@electron-forge/test-utils,expectProjectPathExists,dir,,TaintedPath,,,,
@electron/fuses,getCurrentFuseWire,pathToElectron,,TaintedPath,,,,
@endo/daemon,start,cachePath,,TaintedPath,no,,,param
@epispot/epijs,plot,title,"The title of the graph.
",ReflectedXss,yes,,,param+func+param doc
