Package,Function,Parameter,Parameter Doc,Sink,Unusual,PR,Comments,Determined By
1pif-to-csv,1pif-to-csv,file,,TaintedPath,,,,
2csv,load,data,,CommandInjection,,,,
47pages-keystone,render,view,,TaintedPath,,,,
@11ty/eleventy-fetch,getCachedContents,type,,TaintedPath,yes,,`type` is type of the asset to get cached content,param+func
@11ty/eleventy-fetch,save,type,,TaintedPath,yes,,`type` is type of the asset to cache/save,param+func
@ackee/databless,@ackee/databless,input,,TaintedPath,,,,
@actions/io,mv,dest,,TaintedPath,,,,
@actions/io,mv,source,,TaintedPath,,,,
@actions/tool-cache,cacheDir,arch,,TaintedPath,yes,https://github.com/actions/toolkit/pull/1139,arch is used as part of path,param
@adeneu/hey,execCommand,cmd,,CommandInjection,no,,surprising false positive,
@adiwajshing/baileys,debouncedTimeout,task,,CodeInjection,,,,
@adiwajshing/baileys,encryptedStream,mediaType,,TaintedPath,,,,
@adiwajshing/baileys,generateThumbnail,file,,CommandInjection,,,,
@adiwajshing/baileys,getAudioDuration,buffer,,TaintedPath,yes,,,
@admin-interface/core,configParser,dirname,,TaintedPath,,,,
@admin-interface/core,yamlConfigParse,configFile,,TaintedPath,,,,
@adobe/aem-importer-markdown-node,@adobe/aem-importer-markdown-node,args,,CommandInjection,,,,
@adobe/aem-importer-markdown-node,@adobe/aem-importer-markdown-node,base,,CommandInjection,,,,
@adobe/create-aio-lib,removeDotGitFolder,repoFolder,,TaintedPath,,,,
@adobe/helix-deploy,decodeParams,params,"Params string or file name
",TaintedPath,,,,
@adobe/helix-deploy,withPackageParamsFile,params,,TaintedPath,,,,
@adobe/helix-deploy,withParams,params,,TaintedPath,,,,
@adobe/helix-deploy,withParamsFile,params,,TaintedPath,,,,
@adobe/helix-deploy,withTestParams,params,,TaintedPath,,,,
@adobe/helix-log,FileLogger,name,,TaintedPath,no,,doc comment explains,
@adobe/openwhisk-action-builder,decodeParams,params,"Params string or file name
",TaintedPath,no,,explained in doc: `params` can be a file,param doc
@adobe/openwhisk-action-builder,withPackageParams,params,,TaintedPath,no,,explained in doc: `params` can be a file,README
@adobe/openwhisk-action-builder,withPackageParamsFile,params,,TaintedPath,no,,explained in doc: `params` can be a file,README
@adobe/openwhisk-action-builder,withParamsFile,params,,TaintedPath,no,,explained in doc: `params` can be a file,README
@adobe/openwhisk-action-builder,withTestParams,params,,TaintedPath,no,,explained in doc: `params` can be a file,README
@adobe/target-tools,delay,func,,CodeInjection,,,,
